Ticker,Name,Sector,Industry,Price,Collection
DEPO,DepoMed Inc.,Healthcare,Drug Manufacturers - Other,WIKI/DEPO,stocks/depo
DEST,Destination Maternity Corporation,Services,Apparel Stores,WIKI/DEST,stocks/dest
DF,Dean Foods Company,Consumer Goods,Dairy Products,WIKI/DF,stocks/df
DFS,Discover Financial Services,Financial,Credit Services,WIKI/DFS,stocks/dfs
DFT,"DuPont Fabros Technology, Inc.",Financial,REIT - Office,NA,stocks/dft
DFZ,R.G. Barry Corporation,Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/DFZ,stocks/dfz
DG,Dollar General Corporation,Services,"Discount, Variety Stores",WIKI/DG,stocks/dg
DGI,"DigitalGlobe, Inc.",Industrial Goods,Aerospace/Defense Products & Services,WIKI/DGI,stocks/dgi
DGAS,"Delta Natural Gas Company, Inc.",Utilities,Gas Utilities,WIKI/DGAS,stocks/dgas
DGICA,Donegal Group Inc.,,,WIKI/DGICA,stocks/dgica
DGICB,Donegal Group Inc.,Financial,Property & Casualty Insurance,NA,stocks/dgicb
DGII,Digi International Inc.,Technology,Networking & Communication Devices,WIKI/DGII,stocks/dgii
DGIT,"Digital Generation, Inc.",,,NA,stocks/dgit
DGLY,Digital Ally Inc.,Technology,Scientific & Technical Instruments,NA,stocks/dgly
DGSE,DGSE Companies Inc.,Services,Jewelry Stores,NA,stocks/dgse
DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,WIKI/DGX,stocks/dgx
DHI,DR Horton Inc.,Industrial Goods,Residential Construction,WIKI/DHI,stocks/dhi
DHIL,Diamond Hill Investment Group Inc.,Financial,Asset Management,WIKI/DHIL,stocks/dhil
DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,WIKI/DHR,stocks/dhr
DHX,"Dice Holdings, Inc.",Services,Staffing & Outsourcing Services,WIKI/DHX,stocks/dhx
DHRM,Dehaier Medical Systems Limited,Healthcare,Medical Appliances & Equipment,NA,stocks/dhrm
DIET,Ediets.com Inc.,,,NA,stocks/diet
DIN,"DineEquity, Inc.",Services,Restaurants,WIKI/DIN,stocks/din
DIOD,Diodes Incorporated,Technology,Semiconductor - Integrated Circuits,WIKI/DIOD,stocks/diod
DISCA,"Discovery Communications, Inc.",Services,CATV Systems,WIKI/DISCA,stocks/disca
DISCB,"Discovery Communications, Inc.",,,NA,NA
DISCK,"Discovery Communications, Inc.",,,NA,NA
DISH,Dish Network Corp.,Services,CATV Systems,WIKI/DISH,stocks/dish
DIS,The Walt Disney Company,Services,Entertainment - Diversified,WIKI/DIS,stocks/dis
DJCO,Daily Journal Corp.,Services,Publishing - Newspapers,WIKI/DJCO,stocks/djco
DIT,AMCON Distributing Co.,Services,Food Wholesale,NA,stocks/dit
DK,"Delek US Holdings, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/DK,stocks/dk
DKL,"Delek Logistics Partners, LP",Basic Materials,Independent Oil & Gas,NA,stocks/dkl
DKS,Dick's Sporting Goods Inc.,Services,Sporting Goods Stores,WIKI/DKS,stocks/dks
DLB,"Dolby Laboratories, Inc.",Technology,Diversified Electronics,WIKI/DLB,stocks/dlb
DLA,Delta Apparel Inc.,Consumer Goods,Textile - Apparel Clothing,NA,stocks/dla
DLGC,"Dialogic, Inc.",Technology,Communication Equipment,NA,stocks/dlgc
DLLR,DFC Global Corp.,Financial,Credit Services,WIKI/DLLR,stocks/dllr
DLIA,"dELiA*s, Inc.",Services,Catalog & Mail Order Houses,NA,stocks/dlia
DLHC,DLH Holdings Corp.,Services,Staffing & Outsourcing Services,NA,stocks/dlhc
DLPH,Delphi Automotive PLC,Consumer Goods,Auto Parts,WIKI/DLPH,stocks/dlph
DLR,Digital Realty Trust Inc.,Financial,REIT - Office,NA,NA
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",WIKI/DLTR,stocks/dltr
DLX,Deluxe Corp.,Services,Business Services,WIKI/DLX,stocks/dlx
DMD,"Demand Media, Inc.",Technology,Internet Software & Services,WIKI/DMD,stocks/dmd
DMLP,Dorchester Minerals LP,Financial,Diversified Investments,NA,stocks/dmlp
DMRC,Digimarc Corporation,Technology,Information Technology Services,WIKI/DMRC,stocks/dmrc
DMND,"Diamond Foods, Inc.",Consumer Goods,Processed & Packaged Goods,WIKI/DMND,stocks/dmnd
DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,WIKI/DNB,stocks/dnb
DNDN,Dendreon Corp.,Healthcare,Biotechnology,WIKI/DNDN,stocks/dndn
DNKN,"Dunkin' Brands Group, Inc.",Services,Restaurants,WIKI/DNKN,stocks/dnkn
DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,WIKI/DNR,stocks/dnr
DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/DO,stocks/do
DNBF,DNB Financial Corp.,Financial,Regional - Mid-Atlantic Banks,NA,stocks/dnbf
DORM,"Dorman Products, Inc.",Consumer Goods,Auto Parts,WIKI/DORM,stocks/dorm
DOV,Dover Corporation,Industrial Goods,Diversified Machinery,WIKI/DOV,stocks/dov
DOW,The Dow Chemical Company,Basic Materials,Chemicals - Major Diversified,WIKI/DOW,stocks/dow
DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,WIKI/DPS,stocks/dps
DPM,DCP Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,NA,stocks/dpm
DPW,Digital Power Corp.,Technology,Diversified Electronics,NA,stocks/dpw
DRAD,Digirad Corporation,Healthcare,Medical Appliances & Equipment,NA,stocks/drad
DRAM,Dataram Corporation,Technology,Data Storage Devices,NA,stocks/dram
DRC,Dresser-Rand Group Inc.,Industrial Goods,Diversified Machinery,WIKI/DRC,stocks/drc
DRCO,Dynamics Research Corporation,,,NA,stocks/drco
DRE,Duke Realty Corporation,Financial,REIT - Industrial,NA,stocks/dre
DPZ,"Domino's Pizza, Inc.",Services,Restaurants,WIKI/DPZ,stocks/dpz
DRIV,Digital River Inc.,Technology,Internet Software & Services,WIKI/DRIV,stocks/driv
DRH,Diamondrock Hospitality Co.,Financial,REIT - Hotel/Motel,NA,stocks/drh
DRI,"Darden Restaurants, Inc.",Services,Restaurants,WIKI/DRI,stocks/dri
DRL,Doral Financial Corporation,Financial,Money Center Banks,WIKI/DRL,stocks/drl
DRQ,"Dril-Quip, Inc.",Basic Materials,Oil & Gas Equipment & Services,WIKI/DRQ,stocks/drq
DRRX,DURECT Corporation,Healthcare,Drug Manufacturers - Other,NA,stocks/drrx
DRTX,"Durata Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/DRTX,stocks/drtx
DSCI,Derma Sciences Inc.,Healthcare,Medical Instruments & Supplies,WIKI/DSCI,stocks/dsci
DSCO,Discovery Laboratories Inc.,Healthcare,Biotechnology,NA,stocks/dsco
DSPG,DSP Group Inc.,Technology,Semiconductor - Integrated Circuits,WIKI/DSPG,stocks/dspg
DSKX,"DS Healthcare Group, Inc.",Consumer Goods,Personal Products,NA,NA
DSS,"Document Security Systems, Inc.",Services,Business Services,NA,stocks/dss
DSTI,DayStar Technologies Inc.,Technology,Semiconductor - Specialized,NA,stocks/dsti
DSW,DSW Inc.,Services,Apparel Stores,WIKI/DSW,stocks/dsw
DTE,DTE Energy Company,Utilities,Electric Utilities,WIKI/DTE,stocks/dte
DTLK,Datalink Corporation,Technology,Data Storage Devices,WIKI/DTLK,stocks/dtlk
DTSI,DTS Inc.,Technology,Application Software,WIKI/DTSI,stocks/dtsi
DTV,DIRECTV,Services,CATV Systems,WIKI/DTV,stocks/dtv
DUK,Duke Energy Corporation,Utilities,Diversified Utilities,WIKI/DUK,stocks/duk
DVA,DaVita HealthCare Partners Inc.,Healthcare,Specialized Health Services,WIKI/DVA,stocks/dva
DV,DeVry Education Group Inc.,Services,Education & Training Services,WIKI/DV,stocks/dv
DVAX,Dynavax Technologies Corporation,Healthcare,Drug Manufacturers - Other,WIKI/DVAX,stocks/dvax
DVCR,Diversicare Healthcare Services Inc.,Healthcare,Long-Term Care Facilities,NA,NA
DVD,Dover Motorsports Inc.,Services,Sporting Activities,NA,stocks/dvd
DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,WIKI/DVN,stocks/dvn
DVR,Cal Dive International Inc,Basic Materials,Oil & Gas Equipment & Services,WIKI/DVR,stocks/dvr
DWA,DreamWorks Animation SKG Inc.,Services,"Movie Production, Theaters",WIKI/DWA,stocks/dwa
DW,Drew Industries Incorporated,Consumer Goods,Recreational Vehicles,WIKI/DW,stocks/dw
DWCH,Datawatch Corporation,Technology,Business Software & Services,NA,stocks/dwch
DWRE,"Demandware, Inc.",Technology,Application Software,WIKI/DWRE,stocks/dwre
DWSN,Dawson Geophysical Company,Basic Materials,Oil & Gas Equipment & Services,WIKI/DWSN,stocks/dwsn
DX,Dynex Capital Inc.,Financial,REIT - Residential,NA,stocks/dx
DXCM,"DexCom, Inc.",Healthcare,Medical Instruments & Supplies,WIKI/DXCM,stocks/dxcm
DXLG,"Destination XL Group, Inc.",Services,Apparel Stores,WIKI/DXLG,stocks/dxlg
DXM,"Dex Media, Inc.",Services,Marketing Services,WIKI/DXM,NA
DXPE,"DXP Enterprises, Inc.",Services,Industrial Equipment Wholesale,WIKI/DXPE,stocks/dxpe
DXR,Daxor Corp.,Healthcare,Medical Instruments & Supplies,NA,stocks/dxr
DY,Dycom Industries Inc.,Industrial Goods,Heavy Construction,WIKI/DY,stocks/dy
DYAX,Dyax Corp.,Healthcare,Biotechnology,WIKI/DYAX,stocks/dyax
DYII,Dynacq Healthcare Inc.,Healthcare,Hospitals,NA,stocks/dyii
DYNIQ,DYNEGY INC NEW,,,NA,stocks/dyniq
DYSL,Dynasil Corporation of America,Technology,Scientific & Technical Instruments,NA,stocks/dysl
EAC,Erickson Incorporated,Industrial Goods,Aerospace/Defense - Major Diversified,WIKI/EAC,stocks/eac
EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,WIKI/EA,stocks/ea
EBF,Ennis Inc.,Consumer Goods,Office Supplies,WIKI/EBF,stocks/ebf
EAT,"Brinker International, Inc.",Services,Restaurants,WIKI/EAT,stocks/eat
EBIX,Ebix Inc.,Technology,Business Software & Services,WIKI/EBIX,stocks/ebix
EBAY,eBay Inc.,Services,"Specialty Retail, Other",WIKI/EBAY,stocks/ebay
EBMT,"Eagle Bancorp Montana, Inc.",Financial,Regional - Pacific Banks,NA,stocks/ebmt
EBSB,"Meridian Interstate Bancorp, Inc.",Financial,Savings & Loans,WIKI/EBSB,stocks/ebsb
EBTC,Enterprise Bancorp Inc.,Financial,Savings & Loans,WIKI/EBTC,stocks/ebtc
EBS,"Emergent BioSolutions, Inc.",Healthcare,Biotechnology,WIKI/EBS,stocks/ebs
ECHO,"Echo Global Logistics, Inc.",Services,Trucking,WIKI/ECHO,stocks/echo
ECL,Ecolab Inc.,Consumer Goods,Cleaning Products,WIKI/ECL,stocks/ecl
ECOL,"US Ecology, Inc.",Industrial Goods,Waste Management,WIKI/ECOL,stocks/ecol
ECOM,ChannelAdvisor Corporation,Technology,Application Software,WIKI/ECOM,stocks/ecom
ECTE,"Echo Therapeutics, Inc.",Healthcare,Drug Manufacturers - Major,NA,stocks/ecte
ECTY,"ECOtality, Inc.",,,NA,stocks/ecty
ECYT,"Endocyte, Inc.",Healthcare,Biotechnology,WIKI/ECYT,stocks/ecyt
ED,"Consolidated Edison, Inc.",Utilities,Diversified Utilities,WIKI/ED,stocks/ed
EDGW,Edgewater Technology Inc.,Technology,Information Technology Services,NA,stocks/edgw
EDMC,Education Management Corporation,Services,Education & Training Services,WIKI/EDMC,stocks/edmc
EDE,The Empire District Electric Company,Utilities,Electric Utilities,WIKI/EDE,stocks/ede
EDR,"Education Realty Trust, Inc.",Financial,REIT - Residential,NA,NA
EDUC,Educational Development Corporation,Services,Publishing - Books,NA,stocks/educ
EEI,"Ecology & Environment, Inc.",Industrial Goods,Waste Management,NA,stocks/eei
EFC,Ellington Financial LLC,Financial,Mortgage Investment,NA,stocks/efc
EEFT,Euronet Worldwide Inc.,Services,Business Services,WIKI/EEFT,stocks/eeft
EFII,"Electronics for Imaging, Inc.",Technology,Computer Peripherals,WIKI/EFII,stocks/efii
EFOI,"Energy Focus, Inc.",Consumer Goods,Home Furnishings & Fixtures,NA,stocks/efoi
EFSC,Enterprise Financial Services Corp.,Financial,Regional - Southwest Banks,WIKI/EFSC,stocks/efsc
EFX,Equifax Inc.,Financial,Credit Services,WIKI/EFX,stocks/efx
EGAN,eGain Corporation,Technology,Business Software & Services,WIKI/EGAN,stocks/egan
EGHT,8x8 Inc.,Technology,Communication Equipment,WIKI/EGHT,stocks/eght
EGL,"Engility Holdings, Inc.",Services,Technical Services,WIKI/EGL,stocks/egl
EGN,Energen Corp.,Basic Materials,Independent Oil & Gas,WIKI/EGN,stocks/egn
EGOV,NIC Inc.,Technology,Application Software,WIKI/EGOV,stocks/egov
EGY,Vaalco Energy Inc.,Basic Materials,Independent Oil & Gas,WIKI/EGY,stocks/egy
EHTH,"eHealth, Inc.",Financial,Insurance Brokers,WIKI/EHTH,stocks/ehth
EIG,"Employers Holdings, Inc.",Financial,Accident & Health Insurance,WIKI/EIG,stocks/eig
ELGX,Endologix Inc.,Healthcare,Medical Instruments & Supplies,WIKI/ELGX,stocks/elgx
ELLI,"Ellie Mae, Inc.",Technology,Application Software,WIKI/ELLI,stocks/elli
ELNK,EarthLink Holdings Corp.,Technology,Telecom Services - Domestic,WIKI/ELNK,stocks/elnk
ELRC,Electro Rent Corporation,Services,Rental & Leasing Services,WIKI/ELRC,stocks/elrc
ELX,Emulex Corporation,Technology,Data Storage Devices,WIKI/ELX,stocks/elx
EMCI,EMC Insurance Group Inc.,Financial,Property & Casualty Insurance,WIKI/EMCI,stocks/emci
ELY,Callaway Golf Co.,Consumer Goods,Sporting Goods,WIKI/ELY,stocks/ely
EME,EMCOR Group Inc.,Industrial Goods,General Contractors,WIKI/EME,stocks/eme
END,Endeavour International Corporation,Basic Materials,Independent Oil & Gas,WIKI/END,stocks/end
ENDP,Endo International plc,Healthcare,Drug Manufacturers - Other,WIKI/ENDP,stocks/endp
ENH,Endurance Specialty Holdings Ltd.,Financial,Property & Casualty Insurance,WIKI/ENH,stocks/enh
ENR,Energizer Holdings Inc.,Consumer Goods,Personal Products,WIKI/ENR,stocks/enr
ENS,EnerSys,Industrial Goods,Industrial Electrical Equipment,WIKI/ENS,stocks/ens
ENPH,"Enphase Energy, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/ENPH,stocks/enph
ENSG,"The Ensign Group, Inc.",Healthcare,Long-Term Care Facilities,WIKI/ENSG,stocks/ensg
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/ENTG,stocks/entg
ENTA,"Enanta Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/ENTA,stocks/enta
ENTR,"Entropic Communications, Inc.",Technology,Semiconductor - Broad Line,WIKI/ENTR,stocks/entr
ENV,"Envestnet, Inc.",Services,Business Services,WIKI/ENV,stocks/env
ENZN,Enzon Pharmaceuticals Inc.,Healthcare,Biotechnology,WIKI/ENZN,stocks/enzn
EOPN,"E2open, Inc.",Technology,Application Software,WIKI/EOPN,stocks/eopn
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,WIKI/EPAM,stocks/epam
EPAY,Bottomline Technologies,Technology,Business Software & Services,WIKI/EPAY,stocks/epay
EPIQ,"Epiq Systems, Inc.",Technology,Information Technology Services,WIKI/EPIQ,stocks/epiq
EPM,Evolution Petroleum Corp.,Basic Materials,Independent Oil & Gas,WIKI/EPM,stocks/epm
EPL,"EPL Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,WIKI/EPL,stocks/epl
EPZM,"Epizyme, Inc.",Healthcare,Biotechnology,WIKI/EPZM,stocks/epzm
EQIX,"Equinix, Inc.",Technology,Internet Software & Services,WIKI/EQIX,stocks/eqix
EQU,Equal Energy Ltd.,Basic Materials,Independent Oil & Gas,WIKI/EQU,NA
ERA,Era Group Inc.,Services,"Air Services, Other",WIKI/ERA,NA
ERII,"Energy Recovery, Inc.",Industrial Goods,Pollution & Treatment Controls,WIKI/ERII,stocks/erii
ERIE,Erie Indemnity Company,Financial,Insurance Brokers,WIKI/ERIE,stocks/erie
ESBF,ESB Financial Corp.,Financial,Savings & Loans,WIKI/ESBF,stocks/esbf
ESGR,Enstar Group Limited,Financial,Property & Casualty Insurance,WIKI/ESGR,stocks/esgr
ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,WIKI/ESE,stocks/ese
ESIO,Electro Scientific Industries Inc.,Technology,Semiconductor - Integrated Circuits,WIKI/ESIO,stocks/esio
ESSA,"ESSA Bancorp, Inc.",Financial,Savings & Loans,WIKI/ESSA,stocks/essa
ETH,Ethan Allen Interiors Inc.,Consumer Goods,Home Furnishings & Fixtures,WIKI/ETH,stocks/eth
ETM,Entercom Communications Corp.,Services,Broadcasting - Radio,WIKI/ETM,stocks/etm
EVC,Entravision Communications Corporation,Services,Broadcasting - TV,WIKI/EVC,stocks/evc
EVTC,"EVERTEC, Inc.",Technology,Business Software & Services,WIKI/EVTC,stocks/evtc
ESL,Esterline Technologies Corp.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/ESL,stocks/esl
ESC,Emeritus Corp.,Healthcare,Long-Term Care Facilities,WIKI/ESC,stocks/esc
EVR,Evercore Partners Inc.,Financial,Asset Management,WIKI/EVR,stocks/evr
EWBC,"East West Bancorp, Inc.",Financial,Foreign Money Center Banks,WIKI/EWBC,stocks/ewbc
EV,Eaton Vance Corp.,Financial,Asset Management,WIKI/EV,stocks/ev
EXAC,Exactech Inc.,Healthcare,Medical Appliances & Equipment,WIKI/EXAC,stocks/exac
EXAS,Exact Sciences Corporation,Healthcare,Biotechnology,WIKI/EXAS,stocks/exas
EXAR,Exar Corp.,Technology,Semiconductor - Integrated Circuits,WIKI/EXAR,stocks/exar
EXAM,"ExamWorks Group, Inc.",Services,Business Services,WIKI/EXAM,stocks/exam
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,WIKI/EXEL,stocks/exel
EXH,"Exterran Holdings, Inc.",Basic Materials,Oil & Gas Equipment & Services,WIKI/EXH,stocks/exh
EXLS,"Exlservice Holdings, Inc.",Services,Business Services,WIKI/EXLS,stocks/exls
EXPO,Exponent Inc.,Services,Management Services,WIKI/EXPO,stocks/expo
EXPR,Express Inc.,Services,Apparel Stores,WIKI/EXPR,stocks/expr
EXP,Eagle Materials Inc.,Industrial Goods,Cement,WIKI/EXP,stocks/exp
EXTR,Extreme Networks Inc.,Technology,Networking & Communication Devices,WIKI/EXTR,stocks/extr
EXXI,Energy XXI,Basic Materials,Oil & Gas Equipment & Services,WIKI/EXXI,stocks/exxi
EXR,Extra Space Storage Inc.,Financial,REIT - Industrial,NA,stocks/exr
EZPW,"EZCORP, Inc.",Services,"Specialty Retail, Other",WIKI/EZPW,stocks/ezpw
F,Ford Motor Co.,Consumer Goods,Auto Manufacturers - Major,WIKI/F,stocks/f
FABK,First Advantage Bancorp.,Financial,Regional - Southeast Banks,NA,NA
FAC,First Acceptance Corp.,Financial,Accident & Health Insurance,NA,stocks/fac
FAF,First American Financial Corporation,Financial,Property & Casualty Insurance,WIKI/FAF,stocks/faf
FALC,Falconstor Software Inc.,Technology,Application Software,NA,stocks/falc
FANG,"Diamondback Energy, Inc.",Basic Materials,Independent Oil & Gas,WIKI/FANG,stocks/fang
FARM,Farmer Brothers Co.,Consumer Goods,Processed & Packaged Goods,WIKI/FARM,stocks/farm
FARO,FARO Technologies Inc.,Technology,Scientific & Technical Instruments,WIKI/FARO,stocks/faro
FAST,Fastenal Company,Services,Industrial Equipment Wholesale,WIKI/FAST,stocks/fast
FB,"Facebook, Inc.",Technology,Internet Information Providers,WIKI/FB,stocks/fb
FBC,Flagstar Bancorp Inc.,Financial,Savings & Loans,WIKI/FBC,stocks/fbc
FBHS,"Fortune Brands Home & Security, Inc.",Consumer Goods,Home Furnishings & Fixtures,WIKI/FBHS,stocks/fbhs
FBIZ,"First Business Financial Services, Inc.",Financial,Regional - Midwest Banks,NA,stocks/fbiz
FBMI,Firstbank Corporation,Financial,Regional - Midwest Banks,NA,stocks/fbmi
FBMS,First Bancshares Inc.,Financial,Regional - Southeast Banks,NA,stocks/fbms
FBNC,First Bancorp,Financial,Regional - Mid-Atlantic Banks,WIKI/FBNC,stocks/fbnc
FBNK,"First Connecticut Bancorp, Inc.",Financial,Money Center Banks,WIKI/FBNK,stocks/fbnk
FBP,First Bancorp,Financial,Foreign Regional Banks,WIKI/FBP,stocks/fbp
FBRC,FBR & Co.,Financial,Asset Management,WIKI/FBRC,stocks/fbrc
FBSS,Fauquier Bankshares Inc.,Financial,Regional - Southeast Banks,NA,stocks/fbss
FC,Franklin Covey Co.,Services,Education & Training Services,WIKI/FC,stocks/fc
FCAP,First Capital Inc.,Financial,Savings & Loans,NA,stocks/fcap
FCCY,1st Constitution Bancorp,Financial,Regional - Northeast Banks,NA,stocks/fccy
FCBC,"First Community Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,WIKI/FCBC,stocks/fcbc
FCCO,First Community Corporation,Financial,Regional - Southwest Banks,NA,stocks/fcco
FCEL,FuelCell Energy Inc.,Utilities,Diversified Utilities,WIKI/FCEL,stocks/fcel
FCF,First Commonwealth Financial Corp.,Financial,Regional - Northeast Banks,WIKI/FCF,stocks/fcf
FCFS,First Cash Financial Services Inc.,Financial,Credit Services,WIKI/FCFS,stocks/fcfs
FCH,FelCor Lodging Trust Incorporated,Financial,REIT - Hotel/Motel,NA,stocks/fch
FCLF,First Clover Leaf Financial Corp.,Financial,Savings & Loans,NA,stocks/fclf
FCN,"FTI Consulting, Inc.",Services,Management Services,WIKI/FCN,stocks/fcn
FCNCA,First Citizens Bancshares Inc.,Financial,Regional - Mid-Atlantic Banks,WIKI/FCNCA,stocks/fcnca
FCTY,"1st Century Bancshares, Inc.",Financial,Regional - Pacific Banks,NA,stocks/fcty
FCX,Freeport-McMoRan Copper & Gold Inc.,Basic Materials,Copper,WIKI/FCX,stocks/fcx
FCZA,First Citizens Banc Corp.,Financial,Regional - Pacific Banks,NA,stocks/fcza
FDEF,First Defiance Financial Corp.,Financial,Savings & Loans,WIKI/FDEF,stocks/fdef
FDO,Family Dollar Stores Inc.,Services,"Discount, Variety Stores",WIKI/FDO,stocks/fdo
FDP,Fresh Del Monte Produce Inc.,Consumer Goods,Farm Products,WIKI/FDP,stocks/fdp
FDS,FactSet Research Systems Inc.,Technology,Information & Delivery Services,WIKI/FDS,stocks/fds
FCS,Fairchild Semiconductor International Inc.,Technology,Semiconductor - Integrated Circuits,WIKI/FCS,stocks/fcs
FDML,Federal-Mogul Holdings Corporation,Consumer Goods,Auto Parts,WIKI/FDML,stocks/fdml
FDX,FedEx Corporation,Services,Air Delivery & Freight Services,WIKI/FDX,stocks/fdx
FE,FirstEnergy Corp.,Utilities,Electric Utilities,WIKI/FE,stocks/fe
FEIC,FEI Company,Technology,Scientific & Technical Instruments,WIKI/FEIC,stocks/feic
FEIM,Frequency Electronics Inc.,Technology,Communication Equipment,NA,stocks/feim
FES,Forbes Energy Services Ltd.,Basic Materials,Oil & Gas Equipment & Services,NA,stocks/fes
FELE,"Franklin Electric Co., Inc.",Industrial Goods,Industrial Electrical Equipment,WIKI/FELE,stocks/fele
FET,"Forum Energy Technologies, Inc.",Basic Materials,Oil & Gas Equipment & Services,WIKI/FET,stocks/fet
FFBC,First Financial Bancorp.,Financial,Regional - Midwest Banks,WIKI/FFBC,stocks/ffbc
FFBCW,First Financial Bancorp.,,,NA,NA
FF,FutureFuel Corp.,Basic Materials,Chemicals - Major Diversified,WIKI/FF,stocks/ff
FFBH,First Federal Bancshares of Arkansas Inc.,Financial,Savings & Loans,WIKI/FFBH,stocks/ffbh
FFEX,Frozen Food Express Industries Inc.,,,NA,stocks/ffex
FFG,FBL Financial Group Inc.,Financial,Life Insurance,WIKI/FFG,stocks/ffg
FFIC,Flushing Financial Corp.,Financial,Savings & Loans,WIKI/FFIC,stocks/ffic
FFIN,First Financial Bankshares Inc.,Financial,Regional - Southwest Banks,WIKI/FFIN,stocks/ffin
FFIV,"F5 Networks, Inc.",Technology,Business Software & Services,WIKI/FFIV,stocks/ffiv
FFKT,Farmers Capital Bank Corporation,Financial,Regional - Southeast Banks,WIKI/FFKT,stocks/ffkt
FFKY,First Financial Service Corp.,Financial,Regional - Southeast Banks,NA,stocks/ffky
FFNM,"First Federal of Northern Michigan Bancorp, Inc.",Financial,Regional - Midwest Banks,NA,stocks/ffnm
FFNW,"First Financial Northwest, Inc.",Financial,Regional - Pacific Banks,WIKI/FFNW,stocks/ffnw
FGP,Ferrellgas Partners LP,Basic Materials,Oil & Gas Refining & Marketing,NA,stocks/fgp
FHCO,The Female Health Company,Consumer Goods,Personal Products,WIKI/FHCO,stocks/fhco
FHN,First Horizon National Corporation,Financial,Regional - Southeast Banks,WIKI/FHN,stocks/fhn
FIBK,First Interstate Bancsystem Inc.,Financial,Regional - Pacific Banks,WIKI/FIBK,stocks/fibk
FICO,Fair Isaac Corporation,Technology,Business Software & Services,WIKI/FICO,stocks/fico
FIG,Fortress Investment Group LLC,Financial,Asset Management,NA,stocks/fig
FII,"Federated Investors, Inc.",Financial,Asset Management,WIKI/FII,stocks/fii
FINL,Finish Line Inc.,Services,"Specialty Retail, Other",WIKI/FINL,stocks/finl
FIO,"Fusion-io, Inc.",Technology,Data Storage Devices,WIKI/FIO,stocks/fio
FIRE,"Sourcefire, Inc.",,,NA,stocks/fire
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,WIKI/FIS,stocks/fis
FISI,Financial Institutions Inc.,Financial,Regional - Mid-Atlantic Banks,WIKI/FISI,stocks/fisi
FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,WIKI/FITB,stocks/fitb
FISV,"Fiserv, Inc.",Services,Business Services,WIKI/FISV,stocks/fisv
FIVE,"Five Below, Inc.",Services,"Specialty Retail, Other",WIKI/FIVE,stocks/five
FIX,Comfort Systems USA Inc.,Industrial Goods,General Contractors,WIKI/FIX,stocks/fix
FIZZ,National Beverage Corp.,Consumer Goods,Beverages - Soft Drinks,WIKI/FIZZ,stocks/fizz
FL,"Foot Locker, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/FL,stocks/fl
FLDM,Fluidigm Corporation,Technology,Scientific & Technical Instruments,WIKI/FLDM,stocks/fldm
FLIC,The First of Long Island Corporation,Financial,Regional - Northeast Banks,WIKI/FLIC,stocks/flic
FLEX,Flextronics International Ltd.,Technology,Printed Circuit Boards,NA,stocks/flex
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,WIKI/FLIR,stocks/flir
FLL,Full House Resorts Inc.,Services,Resorts & Casinos,NA,stocks/fll
FLO,"Flowers Foods, Inc.",Consumer Goods,Processed & Packaged Goods,WIKI/FLO,stocks/flo
FLOW,Flow International Corporation,,,NA,stocks/flow
FLR,Fluor Corporation,Industrial Goods,Heavy Construction,WIKI/FLR,stocks/flr
FLT,"FleetCor Technologies, Inc.",Services,Business Services,WIKI/FLT,stocks/flt
FLTX,Fleetmatics Group PLC,Technology,Application Software,WIKI/FLTX,NA
FLS,Flowserve Corp.,Industrial Goods,Diversified Machinery,WIKI/FLS,stocks/fls
FLWS,1-800-Flowers.com Inc.,Services,"Specialty Retail, Other",WIKI/FLWS,stocks/flws
FLXS,Flexsteel Industries Inc.,Consumer Goods,Home Furnishings & Fixtures,WIKI/FLXS,stocks/flxs
FMBI,First Midwest Bancorp Inc.,Financial,Regional - Midwest Banks,WIKI/FMBI,stocks/fmbi
